circley,paddley,previousaction,currentaction
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
124,120,0,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
124,120,0,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
260,250,1,1
256,235,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
360,330,0,0
52,25,0,0
56,25,0,0
356,310,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
124,120,0,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
124,120,0,1
356,315,0,0
360,330,0,0
124,115,1,1
120,100,1,1
356,315,0,0
360,330,0,0
356,315,0,0
